scenalpha,scenario,mag1,mag2,mag3,mag4,mag5,ef3_2,ef3_3,ef3_4,ef3_5,maska,maskb,siI,siI1,ramp,t1,t2,t3,t4,t5,t6,t7,t8,pS,pS2,pS3,pID,lambda,beta,hosp,cc,hosp2,cc2,hosp3,cc3
1A,1,0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
1B,2,0.8,0.65,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
1C,3,0.8,0.65,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
1D,4,0.8,0.65,0.55,0.45,0.45,0.65,0.55,0.45,0.45,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
2A,5,0.8,0.65,0.65,0.65,0.65,0.8,0.8,0.8,0.8,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
2B,6,0.8,0.65,0.55,0.55,0.55,0.8,0.8,0.8,0.8,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
2C,7,0.8,0.65,0.45,0.45,0.45,0.8,0.8,0.8,0.8,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
2D,8,0.8,0.65,0.55,0.45,0.45,0.8,0.8,0.8,0.8,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
3A,9,0.8,0.65,0.65,0.65,0.65,0.725,0.725,0.725,0.725,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
3B,10,0.8,0.65,0.55,0.55,0.55,0.725,0.675,0.675,0.675,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
3C,11,0.8,0.65,0.45,0.45,0.45,0.725,0.625,0.625,0.625,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
3D,12,0.8,0.65,0.55,0.45,0.45,0.725,0.675,0.625,0.625,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035
compareold,13,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.4,0.3,0.3,0,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035